class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.PARAM,map,ConditionKind.PARAM,map,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.PARAM,factory,ConditionKind.PARAM,factory,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.PARAM,map,ConditionKind.PARAM,map,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.PARAM,factory,ConditionKind.PARAM,factory,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,org.apache.commons.collections4.map.LazyMap(map factory),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.PARAM,map,ConditionKind.PARAM,map,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.PARAM,factory,ConditionKind.PARAM,factory,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
LazyMap,lazyMap(map factory),ConditionKind.PARAM,map,ConditionKind.PARAM,map,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.PARAM,factory,ConditionKind.PARAM,factory,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
LazyMap,lazyMap(map factory),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
