class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Floats,hashCode(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,hashCode(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == ((float) args[0]).hashCode();,AssertionRelation.UNEXPECTED,
Floats,compare(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,compare(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,compare(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == Float.compare(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Floats,contains(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,contains(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,contains(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Arrays.stream(args[0]).anyMatch(methodResultID::equals);,AssertionRelation.UNEXPECTED,
Floats,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,indexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == (receiverObjectID.contains(args[0], args[1]) ? receiverObjectID.indexOf(args[0], args[1]) : -1);",AssertionRelation.UNEXPECTED,
Floats,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,lastIndexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,lastIndexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,lastIndexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.indexOf(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Floats,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0)==false;,assert (args[0].length == 0) == false;,AssertionRelation.STRONGER,
Floats,min(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Floats,min(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == min(args[0]);,AssertionRelation.UNEXPECTED,
Floats,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0)==false;,assert (args[0].length == 0) == false;,AssertionRelation.STRONGER,
Floats,max(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Floats,max(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.max(args[0]);,AssertionRelation.UNEXPECTED,
Floats,concat(arrays),ConditionKind.PARAM,arrays,ConditionKind.PARAM,arrays,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,concat(arrays),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.concat(args);,AssertionRelation.UNEXPECTED,
Floats,ensureCapacity(array minLength padding),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,ensureCapacity(array minLength padding),ConditionKind.PARAM,minLength,ConditionKind.PARAM,minLength,,assert (args[1] < 0) == false;,AssertionRelation.UNEXPECTED,
Floats,ensureCapacity(array minLength padding),ConditionKind.PARAM,padding,ConditionKind.PARAM,padding,,assert (args[2] < 0) == false;,AssertionRelation.UNEXPECTED,
Floats,ensureCapacity(array minLength padding),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[0] >= 0 && args[1] >= 0;,AssertionRelation.INCOMPARABLE,
Floats,ensureCapacity(array minLength padding),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert args[0].length >= args[1] || (args[2] > 0 && args[0].length + args[2] >= args[1]);,AssertionRelation.UNEXPECTED,
Floats,join(separator array),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,join(separator array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,toArray(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,toArray(collection),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[0].contains(null);,assert args[0] == null || java.util.Arrays.stream(args[0].toArray()).anyMatch(value -> value == null);,AssertionRelation.INCOMPARABLE,
Floats,toArray(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.contains(null);,AssertionRelation.UNEXPECTED,
Floats,asList(backingArray),ConditionKind.PARAM,backingArray,ConditionKind.PARAM,backingArray,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,asList(backingArray),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !Arrays.asList(args[0]).contains(null);,AssertionRelation.UNEXPECTED,
Floats,tryParse(string),ConditionKind.PARAM,string,ConditionKind.PARAM,string,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Floats,tryParse(string),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
