class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CollectionUtils,emptyCollection(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true?methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);,assert methodResultID == !receiverObjectID.isEmpty();,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,emptyIfNull(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
CollectionUtils,emptyIfNull(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[0]==null ? methodResultID.equals(org.apache.commons.collections4.CollectionUtils.emptyCollection());,assert methodResultID == (args[0] == null) ? new java.util.Collections.EMPTY_COLLECTION() : args[0];,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,union(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,union(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,union(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.union(args[0], args[1]);",AssertionRelation.UNEXPECTED,
CollectionUtils,intersection(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,intersection(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,intersection(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert a != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert b != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,disjunction(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !args[0].containsAny(args[1]);,AssertionRelation.UNEXPECTED,
CollectionUtils,subtract(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,subtract(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
CollectionUtils,subtract(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert a != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert b != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,assert p != null;,AssertionRelation.UNEXPECTED,
CollectionUtils,subtract(a b p),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert !args[0].subtract(args[1], args[2]).isEmpty();",AssertionRelation.UNEXPECTED,
CollectionUtils,containsAll(coll1 coll2),ConditionKind.PARAM,coll1,ConditionKind.PARAM,coll1,assert (args[0]==null) == false;,assert coll1 != null;,AssertionRelation.INCOMPARABLE,
