class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AllPredicate,AllPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert java.util.Arrays.stream(args[0]).anyMatch(Objects::isNull);,AssertionRelation.EQUIVALENT,
AllPredicate,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length == 0 ? new Predicate() { public boolean evaluate(Object object) { return true; } } : args[0][0]);,AssertionRelation.UNEXPECTED,
AllPredicate,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].stream().anyMatch(e -> e==null);,assert java.util.Arrays.stream(args[0]).anyMatch(Objects::isNull);,AssertionRelation.EQUIVALENT,
AllPredicate,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].size() == 0 ? new Predicate() { public boolean evaluate(Object object) { return true; } } : args[0].size() == 1 ? (Predicate) args[0].iterator().next() : receiverObjectID.allPredicate(args[0]));,AssertionRelation.UNEXPECTED,
AllPredicate,evaluate(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
AllPredicate,evaluate(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID;,AssertionRelation.UNEXPECTED,
