class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ImmutableSortedMap,of(k1 v1 k2 v2),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[0].equals(args[2]);,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,of(k1 v1 k2 v2 k3 v3),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[0].equals(args[1]) || args[2].equals(args[3]) || args[4].equals(args[5]);,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,of(k1 v1 k2 v2 k3 v3 k4 v4),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[0].equals(args[1]) || args[2].equals(args[3]) || args[4].equals(args[5]) || args[6].equals(args[7]);,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,of(k1 v1 k2 v2 k3 v3 k4 v4 k5 v5),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert args[0].equals(args[1]) || args[2].equals(args[3]) || args[4].equals(args[5]) || args[6].equals(args[7]) || args[8].equals(args[9]);,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,copyOf(map),ConditionKind.THROWS,ClassCastException,ConditionKind.THROWS,ClassCastException,,,AssertionRelation.EMPTY,
ImmutableSortedMap,copyOf(map),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
ImmutableSortedMap,copyOf(map),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.containsKey(args[0]) || receiverObjectID.floorKey(args[0]) == args[0];,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,copyOf(map comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
ImmutableSortedMap,copyOf(map comparator),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !args[0].entrySet().stream().anyMatch(entry1 -> args[0].entrySet().stream().anyMatch(entry2 -> entry1.getKey().equals(entry2.getKey())));,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,copyOf(entries),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
ImmutableSortedMap,copyOf(entries),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !((java.lang.Iterable)args[0]).iterator().hasNext() || ((java.lang.Iterable)args[0]).iterator().next().equals(((java.lang.Iterable)args[0]).iterator().next());,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,copyOf(entries comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
ImmutableSortedMap,copyOf(entries comparator),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !comparator().compare(args[0], args[0]) < 0;",AssertionRelation.UNEXPECTED,
ImmutableSortedMap,copyOfSorted(map),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert !args[0].keySet().stream().anyMatch(k -> k == null) && !args[0].values().stream().anyMatch(v -> v == null);,AssertionRelation.UNEXPECTED,
ImmutableSortedMap,orderedBy(comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
ImmutableSortedMap,pollFirstEntry(),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert true;,assert true;,AssertionRelation.IDENTICAL,
ImmutableSortedMap,pollLastEntry(),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert true;,assert true;,AssertionRelation.IDENTICAL,
