class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
QueueUtils,unmodifiableQueue(queue),ConditionKind.PARAM,queue,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,assert true;,AssertionRelation.STRONGER,
QueueUtils,unmodifiableQueue(queue),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,queue,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
QueueUtils,unmodifiableQueue(queue),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.PARAM,queue,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,queue,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
QueueUtils,predicatedQueue(queue predicate),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
QueueUtils,transformingQueue(queue transformer),ConditionKind.PARAM,queue,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
QueueUtils,transformingQueue(queue transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,queue,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
QueueUtils,transformingQueue(queue transformer),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,transformer,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
QueueUtils,transformingQueue(queue transformer),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] != null && args[1] != null;,AssertionRelation.UNEXPECTED,
QueueUtils,emptyQueue(),ConditionKind.RETURN,,ConditionKind.PARAM,<E>,assert true ? methodResultID.equals(receiverObjectID.EMPTY_QUEUE);,assert args.length == 0;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
