class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ConcurrentHashMultiset,ConcurrentHashMultiset(countMap),ConditionKind.PARAM,countMap,ConditionKind.PARAM,countMap,assert (args[0]==null)==false && args[0].isEmpty();,assert args[0].isEmpty();,AssertionRelation.STRONGER,
ConcurrentHashMultiset,ConcurrentHashMultiset(countMap),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false && (args[0].isEmpty())==false;,assert (args[0].isEmpty()) == false;,AssertionRelation.STRONGER,
ConcurrentHashMultiset,create(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,count(element),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,count(element),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,add(element occurrences),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,add(element occurrences),ConditionKind.PARAM,occurrences,ConditionKind.PARAM,occurrences,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,add(element occurrences),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1]<0;,AssertionRelation.IDENTICAL,
ConcurrentHashMultiset,add(element occurrences),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,remove(element occurrences),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,remove(element occurrences),ConditionKind.PARAM,occurrences,ConditionKind.PARAM,occurrences,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,remove(element occurrences),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1]<0;,AssertionRelation.IDENTICAL,
ConcurrentHashMultiset,remove(element occurrences),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,removeExactly(element occurrences),ConditionKind.PARAM,element,ConditionKind.PARAM,element,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,removeExactly(element occurrences),ConditionKind.PARAM,occurrences,ConditionKind.PARAM,occurrences,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,removeExactly(element occurrences),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1]<0;,AssertionRelation.IDENTICAL,
ConcurrentHashMultiset,removeExactly(element occurrences),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,setCount(element count),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1]<0;,AssertionRelation.IDENTICAL,
ConcurrentHashMultiset,setCount(element count),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ConcurrentHashMultiset,setCount(element expectedOldCount newCount),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[1]<0 || args[2]<0;,AssertionRelation.IDENTICAL,
ConcurrentHashMultiset,setCount(element expectedOldCount newCount),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
