class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Doubles,hashCode(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
Doubles,hashCode(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,compare(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
Doubles,compare(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,,AssertionRelation.EMPTY,
Doubles,compare(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,contains(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,contains(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Doubles,contains(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Doubles,indexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Doubles,lastIndexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,lastIndexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Doubles,lastIndexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length==0) == false;,AssertionRelation.STRONGER,
Doubles,min(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length==0;,AssertionRelation.STRONGER,
Doubles,min(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length==0) == false;,AssertionRelation.STRONGER,
Doubles,max(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length==0;,AssertionRelation.STRONGER,
Doubles,max(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,concat(arrays),ConditionKind.PARAM,arrays,ConditionKind.PARAM,arrays,,,AssertionRelation.EMPTY,
Doubles,concat(arrays),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,minLength,ConditionKind.PARAM,minLength,,,AssertionRelation.EMPTY,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,padding,ConditionKind.PARAM,padding,,,AssertionRelation.EMPTY,
Doubles,ensureCapacity(array minLength padding),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[1]<0 || args[2]<0;,AssertionRelation.IDENTICAL,
Doubles,ensureCapacity(array minLength padding),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,join(separator array),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,,,AssertionRelation.EMPTY,
Doubles,join(separator array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Doubles,toArray(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,,AssertionRelation.EMPTY,
Doubles,toArray(collection),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[0].contains(null);,assert args[0]==null;,AssertionRelation.WEAKER,
Doubles,toArray(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,asList(backingArray),ConditionKind.PARAM,backingArray,ConditionKind.PARAM,backingArray,,,AssertionRelation.EMPTY,
Doubles,asList(backingArray),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,tryParse(string),ConditionKind.PARAM,string,ConditionKind.PARAM,string,,,AssertionRelation.EMPTY,
Doubles,tryParse(string),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
