class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,function,ConditionKind.PARAM,function,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,x1,ConditionKind.PARAM,x1,,assert (args[2] == null) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.THROWS,NoBracketingException,ConditionKind.THROWS,NoBracketingException,,"assert !receiverObjectID.isBracketing(args[0], args[1]);",AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,,AssertionRelation.MISSING,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.solve(args[0], args[1]);",AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,function,ConditionKind.PARAM,function,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,assert (args[1] == 0.0) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,x1,ConditionKind.PARAM,x1,,assert (args[2] == 0.0) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,absoluteAccuracy,ConditionKind.PARAM,absoluteAccuracy,,assert (args[3] == 0.0) == false;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.THROWS,NoBracketingException,ConditionKind.THROWS,NoBracketingException,,"assert (receiverObjectID.solve(args[0], args[1], args[2]) > 0) || (receiverObjectID.solve(args[0], args[1], args[2]) < 0);",AssertionRelation.UNEXPECTED,
