class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArrayStack,peek(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert receiverObjectID.empty();,AssertionRelation.INCOMPARABLE,
ArrayStack,pop(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert receiverObjectID.empty();,AssertionRelation.INCOMPARABLE,
ClosureUtils,chainedClosure(closures),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false && args[0].isEmpty();,assert !((Collection)args[0]).isEmpty();,AssertionRelation.INCOMPARABLE,
ClosureUtils,switchClosure(predicatesAndClosures),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert predicatesAndClosures != null;,AssertionRelation.INCOMPARABLE,
ClosureUtils,switchClosure(predicatesAndClosures),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].values().stream().anyMatch(e -> e==null);,assert !predicatesAndClosures.values().stream().anyMatch(Objects::isNull);,AssertionRelation.INCOMPARABLE,
ClosureUtils,switchClosure(predicatesAndClosures),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false && args[0].isEmpty();,assert !predicatesAndClosures.isEmpty();,AssertionRelation.INCOMPARABLE,
ClosureUtils,switchMapClosure(objectsAndClosures),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]==null)==false && args[0].isEmpty();,assert !((Map)args[0]).isEmpty();,AssertionRelation.INCOMPARABLE,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert a != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert b != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert a != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert b != null;,AssertionRelation.INCOMPARABLE,
