class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AnyPredicate,org.apache.commons.collections4.functors.AnyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert Arrays.stream(args[0]).allMatch(predicate -> predicate != null);,AssertionRelation.INCOMPARABLE,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert args[0] != null;,AssertionRelation.INCOMPARABLE,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.UNEXPECTED,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !Arrays.stream(args[0].toArray()).anyMatch(predicate -> predicate == null);,AssertionRelation.INCOMPARABLE,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !receiverObjectID.anyPredicate(args[0]).evaluate(null);,AssertionRelation.UNEXPECTED,
AnyPredicate,evaluate(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
AnyPredicate,evaluate(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.evaluate(args[0]);,AssertionRelation.UNEXPECTED,
