class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AllPredicate,AllPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AllPredicate,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AllPredicate,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].stream().anyMatch(e -> e==null);,,AssertionRelation.MISSING,
AllPredicate,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AllPredicate,evaluate(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
AllPredicate,evaluate(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
