class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AnyPredicate,AnyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert !args[0].isEmpty() || !args[0].stream().allMatch(p -> p != null);,AssertionRelation.INCOMPARABLE,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length == 0 ? false : args[0].length == 1 ? args[0][0] : null);,AssertionRelation.UNEXPECTED,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].stream().anyMatch(e -> e==null);,assert !args[0].isEmpty() && !args[0].stream().allMatch(p -> p != null);,AssertionRelation.WEAKER,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].size() <= 1 ? args[0].get(0) : null);,AssertionRelation.UNEXPECTED,
AnyPredicate,evaluate(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
AnyPredicate,evaluate(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.evaluate(args[0]);,AssertionRelation.UNEXPECTED,
