class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AnyPredicate,AnyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AnyPredicate,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
AnyPredicate,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].stream().anyMatch(e -> e==null);,,AssertionRelation.MISSING,
AnyPredicate,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AnyPredicate,evaluate(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
AnyPredicate,evaluate(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
