class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q0,ConditionKind.PARAM,q0,,assert getQ0() instanceof Double;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q1,ConditionKind.PARAM,q1,,assert getQ1() instanceof Double;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q2,ConditionKind.PARAM,q2,,assert getQ2() instanceof Double;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q3,ConditionKind.PARAM,q3,,assert getQ3() instanceof Double;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,needsNormalization,ConditionKind.PARAM,needsNormalization,,"assert !needsNormalization || (Math.pow(getQ0(), 2) + Math.pow(getQ1(), 2) + Math.pow(getQ2(), 2) + Math.pow(getQ3(), 2) == 1);",AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle),ConditionKind.PARAM,axis,ConditionKind.PARAM,axis,,assert (args[0] != null) == true;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle),ConditionKind.PARAM,angle,ConditionKind.PARAM,angle,,assert (args[1] instanceof java.lang.Object) == true;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert args[0].getNorm().getReal()==0;,assert args[0].norm() == 0;,AssertionRelation.UNSUPPORTED,Equality requires operands of same type
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,axis,ConditionKind.PARAM,axis,,assert Math.sqrt(axis.norm()) > 0;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,angle,ConditionKind.PARAM,angle,,assert (angle >= 0) && (angle <= Math.PI/2);,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,convention,ConditionKind.PARAM,convention,,assert true;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert args[0].getNorm().getReal()==0;,assert args[0].norm() == 0;,AssertionRelation.UNSUPPORTED,Equality requires operands of same type
FieldRotation,FieldRotation(m threshold),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(m threshold),ConditionKind.PARAM,threshold,ConditionKind.PARAM,threshold,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(m threshold),ConditionKind.THROWS,NotARotationMatrixException,ConditionKind.THROWS,NotARotationMatrixException,assert (args[0].length != 3) || (args[0][0].length != 3) || (args[0][1].length != 3) || (args[0][2].length != 3);,"assert args[0].length != 3 || !receiverObjectID.isOrthogonal(args[0], args[1]) || Math.abs(receiverObjectID.determinant(args[0])) < 0;",AssertionRelation.UNSUPPORTED,"Error during parsing: Expected ), got 0"
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,assert u1 != null;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,assert u2 != null;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,assert v1 != null;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,assert v2 != null;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0 || args[2].getNorm().getReal()==0;,assert args[0].norm() == 0 || args[1].norm() == 0 || args[0].collinear(args[1]);,AssertionRelation.UNSUPPORTED,Equality requires operands of same type
FieldRotation,FieldRotation(u v),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
FieldRotation,FieldRotation(u v),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0;,assert Math.sqrt(args[0].magnitude()) == 0 || Math.sqrt(args[1].magnitude()) == 0;,AssertionRelation.UNSUPPORTED,Equality requires operands of same type
FieldRotation,FieldRotation(order alpha1 alpha2 alpha3),ConditionKind.PARAM,order,ConditionKind.PARAM,order,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
