"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","assert !args[0].equals(args[1]);","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2 tolerance)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","Line(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","assert !args[0].equals(args[1]);","AssertionRelation.UNEXPECTED",""
"Line","Line(p1 p2)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","reset(p1 p2)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","reset(p1 p2)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","assert !args[0].equals(args[1]);","AssertionRelation.UNEXPECTED",""
"Line","reset(p1 p2)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","getTolerance()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0.0;","AssertionRelation.UNEXPECTED",""
"Line","revert()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getDirection() != null && !methodResultID.getDirection().equals(receiverObjectID.getDirection());","AssertionRelation.UNEXPECTED",""
"Line","getDirection()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getDirection()) && methodResultID.magnitude() == 1.0;","AssertionRelation.UNEXPECTED",""
"Line","getOrigin()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getOrigin());","AssertionRelation.UNEXPECTED",""
"Line","getAbscissa(point)","ConditionKind.PARAM","point","ConditionKind.PARAM","point","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","getAbscissa(point)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == 0 || Math.abs(methodResultID) <= receiverObjectID.getTolerance();","AssertionRelation.UNEXPECTED",""
"Line","pointAt(abscissa)","ConditionKind.PARAM","abscissa","ConditionKind.PARAM","abscissa","","assert true;","AssertionRelation.UNEXPECTED",""
"Line","pointAt(abscissa)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert receiverObjectID.contains(methodResultID);","AssertionRelation.UNEXPECTED",""
"Line","toSubSpace(vector)","ConditionKind.PARAM","vector","ConditionKind.PARAM","vector","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","toSubSpace(vector)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getDimension() == args[0].getDimension() - 1;","AssertionRelation.UNEXPECTED",""
"Line","toSpace(vector)","ConditionKind.PARAM","vector","ConditionKind.PARAM","vector","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","toSpace(vector)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.toSpace(args[0]));","AssertionRelation.UNEXPECTED",""
"Line","isSimilarTo(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","isSimilarTo(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.contains(args[0].getOrigin()) && args[0].contains(receiverObjectID.getOrigin());","AssertionRelation.UNEXPECTED",""
"Line","contains(p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","contains(p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.contains(args[0]);","AssertionRelation.UNEXPECTED",""
"Line","distance(p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","distance(p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Line","distance(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","distance(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Line","closestPoint(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Line","closestPoint(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert receiverObjectID.distance(methodResultID) == receiverObjectID.distance(args[0]);","AssertionRelation.UNEXPECTED",""
"Line","intersection(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Line","intersection(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == null) || receiverObjectID.contains(methodResultID);","AssertionRelation.UNEXPECTED",""
"Line","wholeLine()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.wholeLine());","AssertionRelation.UNEXPECTED",""
