"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Shorts","hashCode(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Shorts","hashCode(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (short) args[0];","AssertionRelation.UNEXPECTED",""
"Shorts","checkedCast(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert (args[0] <= Short.MAX_VALUE && args[0] >= Short.MIN_VALUE);","AssertionRelation.UNEXPECTED",""
"Shorts","checkedCast(value)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]>Short.MAX_VALUE || args[0]<Short.MIN_VALUE;","assert args[0] > Short.MAX_VALUE || args[0] < Short.MIN_VALUE;","AssertionRelation.IDENTICAL",""
"Shorts","checkedCast(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (short) args[0];","AssertionRelation.UNEXPECTED",""
"Shorts","saturatedCast(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Shorts","saturatedCast(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult == (args[0] > Short.MAX_VALUE ? Short.MAX_VALUE : (args[0] < Short.MIN_VALUE ? Short.MIN_VALUE : (short) args[0]));","AssertionRelation.UNEXPECTED",""
"Shorts","compare(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"Shorts","compare(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert true;","AssertionRelation.UNEXPECTED",""
"Shorts","compare(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID < 0 && args[0] < args[1]) || (methodResultID > 0 && args[0] > args[1]) || (methodResultID == 0 && args[0] == args[1]);","AssertionRelation.UNEXPECTED",""
"Shorts","contains(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Shorts","contains(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert (args[1] >= Short.MIN_VALUE && args[1] <= Short.MAX_VALUE);","AssertionRelation.UNEXPECTED",""
"Shorts","contains(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (indexOf(args[0], args[1]) >= 0);","AssertionRelation.UNEXPECTED",""
"Shorts","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Shorts","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert args[1] >= Short.MIN_VALUE && args[1] <= Short.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"Shorts","indexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1) || (args[0][methodResultID] == args[1]);","AssertionRelation.UNEXPECTED",""
