class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Doubles,hashCode(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,hashCode(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == ((double) args[0]).hashCode();,AssertionRelation.UNEXPECTED,
Doubles,compare(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,compare(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,compare(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Doubles,contains(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,contains(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,contains(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !Arrays.stream(args[0]).anyMatch(methodResultID::equals);,AssertionRelation.UNEXPECTED,
Doubles,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,indexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == (receiverObjectID.contains(args[0], args[1]) ? receiverObjectID.indexOf(args[0], args[1]) : -1);",AssertionRelation.UNEXPECTED,
Doubles,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,lastIndexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,lastIndexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,lastIndexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.indexOf(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Doubles,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length == 0) == false;,AssertionRelation.STRONGER,
Doubles,min(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Doubles,min(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.min(args[0]);,AssertionRelation.UNEXPECTED,
Doubles,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length == 0) == false;,AssertionRelation.STRONGER,
Doubles,max(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Doubles,max(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Math.max(args[0]);,AssertionRelation.UNEXPECTED,
Doubles,concat(arrays),ConditionKind.PARAM,arrays,ConditionKind.PARAM,arrays,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,concat(arrays),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == Arrays.copyOfRange(new double[]{}, 0, args.length).concatenate(args);",AssertionRelation.UNEXPECTED,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,minLength,ConditionKind.PARAM,minLength,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
Doubles,ensureCapacity(array minLength padding),ConditionKind.PARAM,padding,ConditionKind.PARAM,padding,,assert args[2] >= 0;,AssertionRelation.UNEXPECTED,
Doubles,ensureCapacity(array minLength padding),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[0] >= 0 && args[1] >= 0;,AssertionRelation.INCOMPARABLE,
Doubles,ensureCapacity(array minLength padding),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert result == Arrays.copyOf(args[0], Math.max(args[0].length, args[1]) + args[2]);",AssertionRelation.UNEXPECTED,
