class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArrayStack,org.apache.commons.collections4.ArrayStack(initialSize),ConditionKind.PARAM,initialSize,ConditionKind.PARAM,initialSize,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
ArrayStack,org.apache.commons.collections4.ArrayStack(initialSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0] < 0;,AssertionRelation.IDENTICAL,
ArrayStack,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.isEmpty() ? methodResultID == true : methodResultID == false;,,AssertionRelation.MISSING,
ArrayStack,peek(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert !receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ArrayStack,peek(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !receiverObjectID.empty() && methodResultID != null;,AssertionRelation.UNEXPECTED,
ArrayStack,peek(n),ConditionKind.PARAM,n,ConditionKind.PARAM,n,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
ArrayStack,peek(n),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,,assert !receiverObjectID.empty();,AssertionRelation.UNEXPECTED,
ArrayStack,peek(n),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ArrayStack,pop(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert !receiverObjectID.empty();,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
ArrayStack,pop(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.empty();,AssertionRelation.UNEXPECTED,
ArrayStack,push(item),ConditionKind.PARAM,item,ConditionKind.PARAM,item,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
ArrayStack,push(item),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(args[0]);,assert methodResultID == receiverObjectID.push(args[0]);,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
ArrayStack,search(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert receiverObjectID.isEmpty() == false;,AssertionRelation.UNEXPECTED,
ArrayStack,search(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= 0 || receiverObjectID.isEmpty();,AssertionRelation.UNEXPECTED,
