class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters),ConditionKind.PARAM,bandwidth,ConditionKind.PARAM,bandwidth,,assert args[0]==0.25;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters),ConditionKind.PARAM,robustnessIters,ConditionKind.PARAM,robustnessIters,,assert args[0]==0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,bandwidth,ConditionKind.PARAM,bandwidth,,assert args[0]==0.25;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,robustnessIters,ConditionKind.PARAM,robustnessIters,,assert args[0]==0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,accuracy,ConditionKind.PARAM,accuracy,,,AssertionRelation.EMPTY,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert args[0]<0 || args[0]>1;,assert args[0]<0 || args[0]>1;,AssertionRelation.IDENTICAL,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert args[1]<0;,assert args[1]<0;,AssertionRelation.IDENTICAL,
LoessInterpolator,interpolate(xval yval),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,,AssertionRelation.EMPTY,
LoessInterpolator,interpolate(xval yval),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,,AssertionRelation.EMPTY,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,,AssertionRelation.EMPTY,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,,AssertionRelation.MISSING,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,,AssertionRelation.MISSING,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,,AssertionRelation.EMPTY,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,,AssertionRelation.EMPTY,
LoessInterpolator,interpolate(xval yval),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,weights,ConditionKind.PARAM,weights,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,,AssertionRelation.MISSING,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,,AssertionRelation.MISSING,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval weights),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,,AssertionRelation.MISSING,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,,AssertionRelation.MISSING,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,,AssertionRelation.EMPTY,
LoessInterpolator,smooth(xval yval),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
