"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension)","ConditionKind.PARAM","dimension","ConditionKind.PARAM","dimension","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","assert args[0]<1 || args[0]>40;","assert args[0]<1 || args[0]>40;","AssertionRelation.IDENTICAL",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.PARAM","dimension","ConditionKind.PARAM","dimension","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.PARAM","bases","ConditionKind.PARAM","bases","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.PARAM","weights","ConditionKind.PARAM","weights","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[1]==null;","assert args[1]==null;","AssertionRelation.IDENTICAL",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","org.apache.commons.math3.random.HaltonSequenceGenerator(dimension bases weights)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert args[2]!=null && args[1].length!=args[2].length;","assert args[2]!=null;","AssertionRelation.STRONGER",""
"HaltonSequenceGenerator","scramble(i j b digit)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","scramble(i j b digit)","ConditionKind.PARAM","j","ConditionKind.PARAM","j","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","scramble(i j b digit)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","scramble(i j b digit)","ConditionKind.PARAM","digit","ConditionKind.PARAM","digit","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","scramble(i j b digit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","skipTo(index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","skipTo(index)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0]<0;","AssertionRelation.IDENTICAL",""
"HaltonSequenceGenerator","skipTo(index)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"HaltonSequenceGenerator","getNextIndex()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
