class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length > 0 ? args[0][0] : Integer.MAX_VALUE);,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length > 0 ? args[0][0] : 0L);,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].length > 0 ? Double.min(args[0]) : null);,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Arrays.stream(args[0]).min().getAsInt();,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == args[0].min();,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
ArraysMDE,min(a),ConditionKind.THROWS,ArrayIndexOutOfBoundsException,ConditionKind.THROWS,ArrayIndexOutOfBoundsException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
ArraysMDE,min(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == args[0].min();,AssertionRelation.UNEXPECTED,
ArraysMDE,max(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
