class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters),ConditionKind.PARAM,bandwidth,ConditionKind.PARAM,bandwidth,,assert args[0] >= 0 && args[0] <= 1;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters),ConditionKind.PARAM,robustnessIters,ConditionKind.PARAM,robustnessIters,,assert args[1] >= 0 && args[1] <= 4;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,bandwidth,ConditionKind.PARAM,bandwidth,,assert bandwidth >= 0 && bandwidth <= 1;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,robustnessIters,ConditionKind.PARAM,robustnessIters,,assert robustnessIters >= 0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.PARAM,accuracy,ConditionKind.PARAM,accuracy,,assert accuracy > 0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert args[0]<0 || args[0]>1;,assert args[0] < 0 || args[0] > 1;,AssertionRelation.IDENTICAL,
LoessInterpolator,LoessInterpolator(bandwidth robustnessIters accuracy),ConditionKind.THROWS,NotPositiveException,ConditionKind.THROWS,NotPositiveException,assert args[1]<0;,assert args[1] < 0;,AssertionRelation.IDENTICAL,
LoessInterpolator,interpolate(xval yval),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,assert (args[0] != null) && java.util.Arrays.stream(args[0]).allMatch(Double::isFinite);,AssertionRelation.UNEXPECTED,
LoessInterpolator,interpolate(xval yval),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,assert (args[1] != null) && java.util.Arrays.stream(args[1]).allMatch(Double::isFinite);,AssertionRelation.UNEXPECTED,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,"assert !java.util.Arrays.equals(xval, java.util.Arrays.stream(xval).sorted().toArray());",AssertionRelation.UNEXPECTED,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert xval.length != yval.length;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,assert xval.length == 0 || yval.length == 0;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,assert java.lang.Double.isInfinite(xval[0]) || java.lang.Double.isNaN(xval[0]) || java.lang.Double.isInfinite(yval[0]) || java.lang.Double.isNaN(yval[0]);,AssertionRelation.UNEXPECTED,
LoessInterpolator,interpolate(xval yval),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,assert xval.length > 2 / yval.length;,AssertionRelation.UNEXPECTED,
LoessInterpolator,interpolate(xval yval),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,assert args[0].length > 0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,assert args[1].length > 0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.PARAM,weights,ConditionKind.PARAM,weights,,assert args[2].length > 0;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,assert !java.util.Arrays.stream(xval).boxed().sorted().equals(java.util.Arrays.stream(xval).boxed());,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert xval.length != yval.length;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,assert xval.length == 0 || yval.length == 0;,AssertionRelation.INCOMPARABLE,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,assert java.lang.Double.isFinite(xval[0]) && java.util.Arrays.stream(xval).allMatch(e -> java.lang.Double.isFinite(e)) && java.lang.Double.isFinite(yval[0]) && java.util.Arrays.stream(yval).allMatch(e -> java.lang.Double.isFinite(e));,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,assert weights.length * 2 > xval.length;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval weights),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.length == args[0].length;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.PARAM,xval,ConditionKind.PARAM,xval,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.PARAM,yval,ConditionKind.PARAM,yval,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NonMonotonicSequenceException,ConditionKind.THROWS,NonMonotonicSequenceException,,assert !isSorted(args[0]);,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length) == (args[1].length)) == false;,assert args[0].length != args[1].length;,AssertionRelation.EQUIVALENT,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0].length==0 || args[1].length==0;,assert args[0].length == 0 || args[1].length == 0;,AssertionRelation.IDENTICAL,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NotFiniteNumberException,ConditionKind.THROWS,NotFiniteNumberException,,assert !isFinite(args[0]) || !isFinite(args[1]);,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,,assert args[0].length * 2 > receiverObjectID.getBandwidth();,AssertionRelation.UNEXPECTED,
LoessInterpolator,smooth(xval yval),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert java.util.Arrays.equals(methodResultID, receiverObjectID.interpolate(args[0], args[1]));",AssertionRelation.UNEXPECTED,
