class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Shorts,hashCode(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,hashCode(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == ((short) args[0]).hashCode();,AssertionRelation.UNEXPECTED,
Shorts,checkedCast(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] < Short.MIN_VALUE) == false && (args[0] > Short.MAX_VALUE) == false;,AssertionRelation.UNEXPECTED,
Shorts,checkedCast(value),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]>Short.MAX_VALUE || args[0]<Short.MIN_VALUE;,assert args[0] > Short.MAX_VALUE || args[0] < Short.MIN_VALUE;,AssertionRelation.IDENTICAL,
Shorts,checkedCast(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Short.MAX_VALUE <= args[0] && args[0] <= Short.MIN_VALUE; ,AssertionRelation.UNEXPECTED,
Shorts,saturatedCast(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,saturatedCast(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,compare(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,compare(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,compare(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,contains(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,contains(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,contains(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == Arrays.stream(args[0]).anyMatch(i -> i == args[1]);,AssertionRelation.UNEXPECTED,
Shorts,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,indexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.indexOf(args[0], args[1]);",AssertionRelation.UNEXPECTED,
Shorts,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,lastIndexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,lastIndexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,lastIndexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID >= 0 && (methodResultID == receiverObjectID.indexOf(args[0], args[1]) || methodResultID == -1);",AssertionRelation.UNEXPECTED,
Shorts,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length == 0) == false;,AssertionRelation.STRONGER,
Shorts,min(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Shorts,min(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.min(args[0]);,AssertionRelation.UNEXPECTED,
Shorts,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0] == null) == false;,AssertionRelation.STRONGER,
Shorts,max(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length == 0;,AssertionRelation.STRONGER,
Shorts,max(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID >= receiverObjectID.max(args[0]);,AssertionRelation.UNEXPECTED,
Shorts,concat(arrays),ConditionKind.PARAM,arrays,ConditionKind.PARAM,arrays,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,concat(arrays),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == Arrays.stream(args).flatMapToInt(array -> IntStream.range(0, array.length).map(i -> array[i])).toArray();",AssertionRelation.UNEXPECTED,
Shorts,fromByteArray(bytes),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length<2;,assert args[0].length < 2;,AssertionRelation.STRONGER,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,minLength,ConditionKind.PARAM,minLength,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,padding,ConditionKind.PARAM,padding,,assert args[2] >= 0;,AssertionRelation.UNEXPECTED,
Shorts,ensureCapacity(array minLength padding),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[0] >= 0 && args[1] >= 0;,AssertionRelation.INCOMPARABLE,
Shorts,ensureCapacity(array minLength padding),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert args[0].length >= args[1] || (args[0].length + args[2] >= args[1]);,AssertionRelation.UNEXPECTED,
Shorts,join(separator array),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,join(separator array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,assert (args[1] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,toArray(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,toArray(collection),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[0].contains(null);,assert args[0] == null || java.util.Arrays.stream(args[1]).anyMatch(value -> value == null);,AssertionRelation.INCOMPARABLE,
Shorts,toArray(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.toArray(args[0]).mapToShort(i -> i.shortValue());,AssertionRelation.UNEXPECTED,
Shorts,asList(backingArray),ConditionKind.PARAM,backingArray,ConditionKind.PARAM,backingArray,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
Shorts,asList(backingArray),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !Arrays.asList(args[0]).contains(null);,AssertionRelation.UNEXPECTED,
