class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID != null) && ((sourceVertex == null || targetVertex == null) ? methodResultID == null : (sourceVertex != null && targetVertex != null) ? new HashSet<>() : new HashSet<>(Arrays.asList(new Edge(sourceVertex, targetVertex))));",AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert (methodResultID != null && args[0] != null && args[1] != null) ? true : methodResultID == null;,AssertionRelation.UNEXPECTED,
Graph,getEdgeFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !(args[0]!=null && args[1]!=null && this.containsVertex(args[0]) && this.containsVertex(args[1]));,AssertionRelation.INCOMPARABLE,
