class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BagUtils,synchronizedBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,synchronizedBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
BagUtils,synchronizedBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
BagUtils,unmodifiableBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,unmodifiableBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,,AssertionRelation.MISSING,
BagUtils,unmodifiableBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
BagUtils,predicatedBag(bag predicate),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,predicatedBag(bag predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,bag,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
BagUtils,predicatedBag(bag predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
BagUtils,predicatedBag(bag predicate),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
BagUtils,transformingBag(bag transformer),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,transformingBag(bag transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,bag,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
BagUtils,transformingBag(bag transformer),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,transformer,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
BagUtils,transformingBag(bag transformer),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
BagUtils,collectionBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,collectionBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,,AssertionRelation.MISSING,
BagUtils,collectionBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
BagUtils,synchronizedSortedBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,synchronizedSortedBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,assert args[0].getClass().equals(org.apache.commons.collections4.SortedBag.class);,AssertionRelation.INCOMPARABLE,
BagUtils,synchronizedSortedBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
BagUtils,unmodifiableSortedBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,unmodifiableSortedBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,,AssertionRelation.MISSING,
BagUtils,unmodifiableSortedBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
BagUtils,predicatedSortedBag(bag predicate),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,predicatedSortedBag(bag predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,bag,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
BagUtils,predicatedSortedBag(bag predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
BagUtils,predicatedSortedBag(bag predicate),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0]==null || args[1]==null;,AssertionRelation.UNEXPECTED,
BagUtils,transformingSortedBag(bag transformer),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
BagUtils,transformingSortedBag(bag transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,bag,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
