"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2 tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2 tolerance)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","Line(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","","AssertionRelation.EMPTY",""
"Line","Line(p1 p2)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","reset(p1 p2)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","","AssertionRelation.EMPTY",""
"Line","reset(p1 p2)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","","AssertionRelation.EMPTY",""
"Line","reset(p1 p2)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"Line","getTolerance()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","revert()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","getDirection()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","getOrigin()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","getAbscissa(point)","ConditionKind.PARAM","point","ConditionKind.PARAM","point","","","AssertionRelation.EMPTY",""
"Line","getAbscissa(point)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","pointAt(abscissa)","ConditionKind.PARAM","abscissa","ConditionKind.PARAM","abscissa","","","AssertionRelation.EMPTY",""
"Line","pointAt(abscissa)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","toSubSpace(vector)","ConditionKind.PARAM","vector","ConditionKind.PARAM","vector","","","AssertionRelation.EMPTY",""
"Line","toSubSpace(vector)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","toSpace(vector)","ConditionKind.PARAM","vector","ConditionKind.PARAM","vector","","","AssertionRelation.EMPTY",""
"Line","toSpace(vector)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","isSimilarTo(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","","AssertionRelation.EMPTY",""
"Line","isSimilarTo(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","contains(p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","","AssertionRelation.EMPTY",""
"Line","contains(p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","distance(p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","","AssertionRelation.EMPTY",""
"Line","distance(p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","distance(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","","AssertionRelation.EMPTY",""
"Line","distance(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","closestPoint(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","","AssertionRelation.EMPTY",""
"Line","closestPoint(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","intersection(line)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","","AssertionRelation.EMPTY",""
"Line","intersection(line)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Line","wholeLine()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
