class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] >= 1;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] < 1;,AssertionRelation.IDENTICAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] >= 1;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize),ConditionKind.PARAM,initialSize,ConditionKind.PARAM,initialSize,,assert (args[1] >= 0) && (args[1] <= args[0]);,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] < 1;,AssertionRelation.IDENTICAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1] < 0 || args[1] > args[0];,AssertionRelation.STRONGER,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize scanUntilRemovable),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] >= 1;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize scanUntilRemovable),ConditionKind.PARAM,scanUntilRemovable,ConditionKind.PARAM,scanUntilRemovable,,assert args[1];,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize scanUntilRemovable),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] >= 1;,AssertionRelation.DUAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor),ConditionKind.PARAM,loadFactor,ConditionKind.PARAM,loadFactor,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] < 1;,AssertionRelation.IDENTICAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1] >= 0;,AssertionRelation.DUAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] >= 1;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.PARAM,initialSize,ConditionKind.PARAM,initialSize,,assert args[1] >= 0 && args[1] <= args[0];,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.PARAM,loadFactor,ConditionKind.PARAM,loadFactor,,assert args[2] >= 0;,AssertionRelation.UNEXPECTED,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] >= 1;,AssertionRelation.DUAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert args[1] >= 0 && args[1] <= args[0];,AssertionRelation.INCOMPARABLE,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[2]<0;,assert args[2] >= 0;,AssertionRelation.DUAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor scanUntilRemovable),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,,AssertionRelation.EMPTY,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor scanUntilRemovable),ConditionKind.PARAM,loadFactor,ConditionKind.PARAM,loadFactor,,,AssertionRelation.EMPTY,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor scanUntilRemovable),ConditionKind.PARAM,scanUntilRemovable,ConditionKind.PARAM,scanUntilRemovable,,,AssertionRelation.EMPTY,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor scanUntilRemovable),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<1;,assert args[0] >= 1;,AssertionRelation.DUAL,
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize loadFactor scanUntilRemovable),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0;,assert !args[1] < 0;,AssertionRelation.UNSUPPORTED,"Expected Type.INT, got Type.BOOL"
LRUMap,org.apache.commons.collections4.map.LRUMap(maxSize initialSize loadFactor scanUntilRemovable),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
