"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters)","ConditionKind.PARAM","bandwidth","ConditionKind.PARAM","bandwidth","","assert args[0] >= 0.25 && args[0] <= 0.5;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters)","ConditionKind.PARAM","robustnessIters","ConditionKind.PARAM","robustnessIters","","assert args[1] >= 0 && args[1] <= 4;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters accuracy)","ConditionKind.PARAM","bandwidth","ConditionKind.PARAM","bandwidth","","assert args[0] >= 0 && args[0] <= 1;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters accuracy)","ConditionKind.PARAM","robustnessIters","ConditionKind.PARAM","robustnessIters","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters accuracy)","ConditionKind.PARAM","accuracy","ConditionKind.PARAM","accuracy","","assert !Double.isNaN(args[2]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters accuracy)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","assert args[0]<0 || args[0]>1;","assert args[0] < 0 || args[0] > 1;","AssertionRelation.IDENTICAL",""
"LoessInterpolator","LoessInterpolator(bandwidth robustnessIters accuracy)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.PARAM","xval","ConditionKind.PARAM","xval","","assert args[0] != null && args[1] != null && args[0].length == args[1].length;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.PARAM","yval","ConditionKind.PARAM","yval","","assert java.util.stream.Stream.of(args[0]).allMatch(x -> Double.isFinite(x)) && java.util.stream.Stream.of(args[1]).allMatch(x -> Double.isFinite(x)) && isSorted(args[0]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.THROWS","NonMonotonicSequenceException","ConditionKind.THROWS","NonMonotonicSequenceException","","assert !isSorted(args[0]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length) == (args[1].length)) == false;","assert args[0].length != args[1].length;","AssertionRelation.EQUIVALENT",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0].length==0 || args[1].length==0;","assert args[0].length == 0 || args[1].length == 0;","AssertionRelation.IDENTICAL",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.THROWS","NotFiniteNumberException","ConditionKind.THROWS","NotFiniteNumberException","","assert !isFinite(args[0]) || !isFinite(args[1]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","","assert args[0].length <= 2;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","interpolate(xval yval)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.PARAM","xval","ConditionKind.PARAM","xval","","assert java.util.Arrays.stream(args[0]).allMatch(Double::isFinite);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.PARAM","yval","ConditionKind.PARAM","yval","","assert java.util.Arrays.stream(args[1]).allMatch(Double::isFinite);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.PARAM","weights","ConditionKind.PARAM","weights","","assert java.util.Arrays.stream(args[2]).allMatch(Double::isFinite);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.THROWS","NonMonotonicSequenceException","ConditionKind.THROWS","NonMonotonicSequenceException","","assert !isSorted(args[0]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length) == (args[1].length)) == false;","assert args[0].length != args[1].length;","AssertionRelation.EQUIVALENT",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0].length==0 || args[1].length==0;","assert args[0].length == 0 || args[1].length == 0;","AssertionRelation.IDENTICAL",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.THROWS","NotFiniteNumberException","ConditionKind.THROWS","NotFiniteNumberException","","assert !isFinite(args[0]) || !isFinite(args[1]) || !isFinite(args[2]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","","assert args[0].length > 0 && 2 / args[0].length >= 1;","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval weights)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, receiverObjectID.smooth(args[0], args[1], args[2]));","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.PARAM","xval","ConditionKind.PARAM","xval","","","AssertionRelation.EMPTY",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.PARAM","yval","ConditionKind.PARAM","yval","","","AssertionRelation.EMPTY",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.THROWS","NonMonotonicSequenceException","ConditionKind.THROWS","NonMonotonicSequenceException","","assert !isSorted(args[0]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert ((args[0].length) == (args[1].length)) == false;","assert args[0].length != args[1].length;","AssertionRelation.EQUIVALENT",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.THROWS","NoDataException","ConditionKind.THROWS","NoDataException","assert args[0].length==0 || args[1].length==0;","assert args[0].length == 0 || args[1].length == 0;","AssertionRelation.IDENTICAL",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.THROWS","NotFiniteNumberException","ConditionKind.THROWS","NotFiniteNumberException","","assert !isFinite(args[0]) || !isFinite(args[1]);","AssertionRelation.UNEXPECTED",""
"LoessInterpolator","smooth(xval yval)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","","assert args[0].length <= 2;","AssertionRelation.UNEXPECTED",""
