"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","relativeAccuracy","ConditionKind.PARAM","relativeAccuracy","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","assert args[2] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","assert args[3] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","","assert args[4] > args[3];","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0 || args[3]<=0;","assert args[3] <= 0 || args[0] <= 0;","AssertionRelation.EQUIVALENT",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[4]<=args[3];","assert args[4] <= args[3];","AssertionRelation.IDENTICAL",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","relativeAccuracy","ConditionKind.PARAM","relativeAccuracy","","assert true;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","assert true;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<1;","assert args[0] < 1;","AssertionRelation.IDENTICAL",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","","assert args[2] > args[1];","AssertionRelation.UNEXPECTED",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert (args[1]>0)==false;","assert args[1] <= 0;","AssertionRelation.EQUIVALENT",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[2]<=args[1];","assert args[2] <= args[1];","AssertionRelation.IDENTICAL",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<1;","assert args[0] < 1;","AssertionRelation.IDENTICAL",""
