class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PredicateUtils,exceptionPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !methodResultID.apply(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,truePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
PredicateUtils,falsePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == false;,AssertionRelation.UNEXPECTED,
PredicateUtils,nullPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.nullPredicate().test(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,notNullPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,equalPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert args[0] == null || !args[0].equals(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,equalPredicate(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].equals(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,identityPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,assert args[0] == null || args[0].equals(args[0]);,AssertionRelation.UNEXPECTED,
PredicateUtils,identityPredicate(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID instanceof java.lang.Predicate;,AssertionRelation.UNEXPECTED,
PredicateUtils,instanceofPredicate(type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,instanceofPredicate(type),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,instanceofPredicate(type),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].isInstance(args[0]);,AssertionRelation.UNEXPECTED,
PredicateUtils,uniquePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.contains(args[0]);,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !null != receiverObjectID.getMethod(methodResultID);,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,paramTypes,,assert receiverObjectID != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,assert receiverObjectID.length > 0;,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,"assert !java.util.Arrays.deepEquals(args[1], args[2]);",AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,predicate1,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate2,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].test(null) && !args[1].test(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e->e==null);,assert !args[0].isEmpty() && !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].isEmpty();,AssertionRelation.UNEXPECTED,
PredicateUtils,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].contains(null);,assert !args[0].isEmpty() && !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID || receiverObjectID.allPredicate(args[0]).evaluate();,AssertionRelation.UNEXPECTED,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,predicate1,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate2,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].test(null) || !args[1].test(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e->e==null);,assert !args[0].isEmpty() && !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID.equals(args[0].isEmpty());,AssertionRelation.UNEXPECTED,
PredicateUtils,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].contains(null);,assert !args[0].isEmpty() && !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID.equals(receiverObjectID.isEmpty());,AssertionRelation.UNEXPECTED,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,predicate1,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate2,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert !methodResultID.equals(receiverObjectID.eitherPredicate(args[0], args[1]).equals(args[0]) || receiverObjectID.eitherPredicate(args[0], args[1]).equals(args[1]));",AssertionRelation.UNEXPECTED,
PredicateUtils,onePredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e->e==null);,assert !args[0].isEmpty() && !args[0].stream().allMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,onePredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !Arrays.stream(args[0]).anyMatch(p -> receiverObjectID.anyPredicate(p));,AssertionRelation.UNEXPECTED,
PredicateUtils,onePredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].contains(null);,assert !args[0].isEmpty() && !args[0].stream().allMatch(p -> p == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,onePredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.isEmpty() && receiverObjectID.stream().anyMatch(predicate -> !predicate);,AssertionRelation.UNEXPECTED,
PredicateUtils,neitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,predicate1,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,neitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate2,assert (args[1]==null) == false;,assert (args[1] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,neitherPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,neitherPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID || args[0].apply(null) && args[1].apply(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,nonePredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,nonePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
PredicateUtils,nonePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e->e==null);,assert !args[0].anyPredicate(null);,AssertionRelation.UNSUPPORTED,Value cannot be converted into a Z3 Boolean value
PredicateUtils,nonePredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID || Arrays.stream(args).allMatch(p -> !p.test(null));,AssertionRelation.UNEXPECTED,
PredicateUtils,nonePredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,predicates,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,nonePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
PredicateUtils,nonePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0].contains(null);,assert !args[0].contains(null);,AssertionRelation.DUAL,
PredicateUtils,nonePredicate(predicates),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert !methodResultID || receiverObjectID.isEmpty() || java.util.stream.Stream.of(args[0]).allMatch(p -> !receiverObjectID.evaluate(p));,AssertionRelation.UNEXPECTED,
PredicateUtils,notPredicate(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,assert (args[0] == null) == false;,AssertionRelation.UNEXPECTED,
PredicateUtils,notPredicate(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,notPredicate(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !((Predicate)args[0]).evaluate();,AssertionRelation.UNEXPECTED,
PredicateUtils,asPredicate(transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,transformer,assert (args[0]==null) == false;,assert (args[0] == null) == false;,AssertionRelation.IDENTICAL,
