"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Doubles","hashCode(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Doubles","hashCode(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (new Double(args[0]).hashCode());","AssertionRelation.UNEXPECTED",""
"Doubles","compare(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"Doubles","compare(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert true;","AssertionRelation.UNEXPECTED",""
"Doubles","compare(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Double.compare(args[0], args[1]) == methodResultID;","AssertionRelation.UNEXPECTED",""
"Doubles","contains(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","contains(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","contains(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (indexOf(args[0], args[1]) != -1) && !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","indexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.indexOf(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","lastIndexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","lastIndexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","lastIndexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.lastIndexOf(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"Doubles","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert (args[0].length > 0);","AssertionRelation.INCOMPARABLE",""
"Doubles","min(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"Doubles","min(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == min(args[0]);","AssertionRelation.UNEXPECTED",""
"Doubles","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert (args[0].length > 0);","AssertionRelation.INCOMPARABLE",""
"Doubles","max(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"Doubles","max(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Double.MAX_VALUE || (contains(args[0], methodResultID) && compare(methodResultID, max(args[0])) >= 0);","AssertionRelation.UNEXPECTED",""
"Doubles","concat(arrays)","ConditionKind.PARAM","arrays","ConditionKind.PARAM","arrays","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Doubles","concat(arrays)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, concat(args[0]));","AssertionRelation.UNEXPECTED",""
"Doubles","ensureCapacity(array minLength padding)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Doubles","ensureCapacity(array minLength padding)","ConditionKind.PARAM","minLength","ConditionKind.PARAM","minLength","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"Doubles","ensureCapacity(array minLength padding)","ConditionKind.PARAM","padding","ConditionKind.PARAM","padding","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"Doubles","ensureCapacity(array minLength padding)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0 || args[2]<0;","assert args[1] < 0 || args[2] < 0;","AssertionRelation.IDENTICAL",""
"Doubles","ensureCapacity(array minLength padding)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Doubles","join(separator array)","ConditionKind.PARAM","separator","ConditionKind.PARAM","separator","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Doubles","join(separator array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Doubles","toArray(collection)","ConditionKind.PARAM","collection","ConditionKind.PARAM","collection","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","toArray(collection)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[0].contains(null);","assert args[0] == null || ((Collection)args[0]).stream().anyMatch(Objects::isNull);","AssertionRelation.EQUIVALENT",""
"Doubles","toArray(collection)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Doubles","asList(backingArray)","ConditionKind.PARAM","backingArray","ConditionKind.PARAM","backingArray","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","asList(backingArray)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.util.List;","AssertionRelation.UNEXPECTED",""
"Doubles","tryParse(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Doubles","tryParse(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == null && (args[0].length() == 0 || !args[0].matches(""^-?\\d+(\\.\\d+)?""))) || methodResultID.equals(Double.valueOf(args[0]));","AssertionRelation.UNEXPECTED",""
