class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Shorts,hashCode(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
Shorts,hashCode(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,checkedCast(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
Shorts,checkedCast(value),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]>Short.MAX_VALUE || args[0]<Short.MIN_VALUE;,,AssertionRelation.MISSING,
Shorts,checkedCast(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,saturatedCast(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
Shorts,saturatedCast(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,compare(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
Shorts,compare(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,,AssertionRelation.EMPTY,
Shorts,compare(a b),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,contains(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,contains(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Shorts,contains(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Shorts,indexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,indexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,indexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Shorts,lastIndexOf(array target),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,lastIndexOf(array target),ConditionKind.PARAM,target,ConditionKind.PARAM,target,,,AssertionRelation.EMPTY,
Shorts,lastIndexOf(array target),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,min(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length==0) == false;,AssertionRelation.STRONGER,
Shorts,min(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length==0;,AssertionRelation.STRONGER,
Shorts,min(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,max(array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,assert args[0]!=null && (args[0].length==0) == false;,assert (args[0].length==0) == false;,AssertionRelation.STRONGER,
Shorts,max(array),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length==0;,assert args[0].length==0;,AssertionRelation.STRONGER,
Shorts,max(array),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,concat(arrays),ConditionKind.PARAM,arrays,ConditionKind.PARAM,arrays,,,AssertionRelation.EMPTY,
Shorts,concat(arrays),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,fromByteArray(bytes),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]!=null && args[0].length<2;,,AssertionRelation.MISSING,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,minLength,ConditionKind.PARAM,minLength,,,AssertionRelation.EMPTY,
Shorts,ensureCapacity(array minLength padding),ConditionKind.PARAM,padding,ConditionKind.PARAM,padding,,,AssertionRelation.EMPTY,
Shorts,ensureCapacity(array minLength padding),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[2]<0;,assert args[1]<0 || args[2]<0;,AssertionRelation.IDENTICAL,
Shorts,ensureCapacity(array minLength padding),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,join(separator array),ConditionKind.PARAM,separator,ConditionKind.PARAM,separator,,,AssertionRelation.EMPTY,
Shorts,join(separator array),ConditionKind.PARAM,array,ConditionKind.PARAM,array,,,AssertionRelation.EMPTY,
Shorts,toArray(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,,AssertionRelation.EMPTY,
Shorts,toArray(collection),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[0].contains(null);,assert args[0]==null;,AssertionRelation.WEAKER,
Shorts,toArray(collection),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Shorts,asList(backingArray),ConditionKind.PARAM,backingArray,ConditionKind.PARAM,backingArray,,,AssertionRelation.EMPTY,
Shorts,asList(backingArray),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
