class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(absoluteAccuracy maximalOrder),ConditionKind.PARAM,absoluteAccuracy,ConditionKind.PARAM,absoluteAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(absoluteAccuracy maximalOrder),ConditionKind.PARAM,maximalOrder,ConditionKind.PARAM,maximalOrder,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(absoluteAccuracy maximalOrder),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,assert args[1]<2;,assert args[1]<2;,AssertionRelation.IDENTICAL,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy maximalOrder),ConditionKind.PARAM,relativeAccuracy,ConditionKind.PARAM,relativeAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy maximalOrder),ConditionKind.PARAM,absoluteAccuracy,ConditionKind.PARAM,absoluteAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy maximalOrder),ConditionKind.PARAM,maximalOrder,ConditionKind.PARAM,maximalOrder,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy maximalOrder),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,assert args[2]<2;,assert args[2]<2;,AssertionRelation.IDENTICAL,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy functionValueAccuracy maximalOrder),ConditionKind.PARAM,relativeAccuracy,ConditionKind.PARAM,relativeAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy functionValueAccuracy maximalOrder),ConditionKind.PARAM,absoluteAccuracy,ConditionKind.PARAM,absoluteAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy functionValueAccuracy maximalOrder),ConditionKind.PARAM,functionValueAccuracy,ConditionKind.PARAM,functionValueAccuracy,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy functionValueAccuracy maximalOrder),ConditionKind.PARAM,maximalOrder,ConditionKind.PARAM,maximalOrder,,,AssertionRelation.EMPTY,
BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver(relativeAccuracy absoluteAccuracy functionValueAccuracy maximalOrder),ConditionKind.THROWS,NumberIsTooSmallException,ConditionKind.THROWS,NumberIsTooSmallException,assert args[3]<2;,assert args[3]<2;,AssertionRelation.IDENTICAL,
BracketingNthOrderBrentSolver,getMaximalOrder(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
